gid	n_mu	mid	sids	n_mu_p	fam	fam_size	fam_idx	fam_idx_size	tf	gid_W22	map_type	ttype	impact	eff
Zm00001d012752	3	mu1017316|mu1017316|mu1093434	UFMu-00644,UFMu-03993|UFMu-05410,UFMu-06150|UFMu-13137	>=3	NA	NA	NA	NA	FALSE	Zm00004b028250	One-to-One	mRNA	moderate	missense_variant
Zm00001d012755	4	mu1016380|mu1016380|mu1040005|mu1042261	UFMu-01875|UFMu-04529|UFMu-03301|UFMu-05300	>=3	NA	NA	NA	NA	FALSE	Zm00004b028252	One-to-One	mRNA	high	stop_gained
Zm00001d012757	1	mu1093435	UFMu-12019	1	GATA	36	9	9/36	TRUE	Zm00004b028253	One-to-One	mRNA	high	stop_gained
Zm00001d012765	11	mu1016381|mu1022291|mu1032956|mu1045943|mu1057950|mu1061104|mu1074907|mu1078710|mu1081937|mu1081938|mu1084189	UFMu-06937,UFMu-09533,UFMu-10964,UFMu-11321|UFMu-01979|UFMu-02628,UFMu-06592|UFMu-05750|UFMu-07594|UFMu-07758|UFMu-04038|UFMu-09344|UFMu-09475|UFMu-09656|UFMu-10066	>=3	NA	NA	NA	NA	FALSE	Zm00004b028257	One-to-Many	mRNA	moderate	missense_variant
Zm00001d012768	8	mu1029194|mu1029319|mu1040010|mu1040010|mu1041838|mu1078712|mu1081939|mu1081940	UFMu-02865|UFMu-02694,UFMu-09717|UFMu-02519|UFMu-06924|UFMu-04382|UFMu-09252|UFMu-09477,UFMu-11168|UFMu-09477	>=3	NA	NA	NA	NA	FALSE	Zm00004b028260	One-to-One	mRNA	high	start_lost
Zm00001d012769	4	mu1021645|mu1023724|mu1041839|mu1071484	UFMu-01660|UFMu-01869|UFMu-04399,UFMu-07468|UFMu-02889	>=3	NA	NA	NA	NA	FALSE	Zm00004b028261	One-to-One	mRNA	moderate	missense_variant
Zm00001d012771	3	mu1018772|mu1018772|mu1061105	UFMu-00944,UFMu-05585|UFMu-06409|UFMu-07768	>=3	NA	NA	NA	NA	FALSE	Zm00004b028263	One-to-One	mRNA	moderate	missense_variant
Zm00001d012774	5	mu1019245|mu1049727|mu1049727|mu1057951|mu1095464	UFMu-01002|UFMu-06516|UFMu-11442|UFMu-07275|UFMu-11975	>=3	NA	NA	NA	NA	FALSE	Zm00004b028266	One-to-One	mRNA	moderate	missense_variant
Zm00001d012776	4	mu1008732|mu1008732|mu1023426|mu1040011	UFMu-00381|UFMu-04312,UFMu-04889,UFMu-06499|UFMu-02254|UFMu-03723	>=3	NA	NA	NA	NA	FALSE	Zm00004b028269	One-to-One	mRNA	moderate	missense_variant
Zm00001d012782	1	mu1030033	UFMu-02919	1	NA	NA	NA	NA	FALSE	Zm00004b028272	One-to-One	mRNA	moderate	disruptive_inframe_deletion
Zm00001d012795	2	mu1030273|mu1075146	UFMu-02932|UFMu-05721	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d012800	2	mu1043023|mu1048339	UFMu-05265|UFMu-05970	2	NA	NA	NA	NA	FALSE	Zm00004b010830	One-to-One	mRNA	modifier	3_prime_UTR_variant
Zm00001d012806	3	mu1026373|mu1056998|mu1065266	UFMu-05113,UFMu-09456|UFMu-07224|UFMu-00598,UFMu-02760	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	exon_loss_variant
Zm00001d012807	1	mu1086682	UFMu-10992	1	NA	NA	NA	NA	FALSE	Zm00004b010832	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d012809	3	mu1057051|mu1057051|mu1086701	UFMu-07177|UFMu-11859|UFMu-11118	>=3	NA	NA	NA	NA	FALSE	Zm00004b010834	One-to-One	mRNA	low	synonymous_variant
Zm00001d012810	1	mu1042808	UFMu-05173	1	NA	NA	NA	NA	FALSE	Zm00004b010835	One-to-One	mRNA	high	splice_donor_variant
Zm00001d012811	6	mu1031522|mu1031522|mu1041420|mu1071251|mu1079785|mu1086711	UFMu-02689|UFMu-07297|UFMu-04319|UFMu-02816,UFMu-08988|UFMu-09269|UFMu-10992	>=3	NA	NA	NA	NA	FALSE	Zm00004b010836,Zm00004b010837	Many-to-One	mRNA	moderate	missense_variant
Zm00001d012813	1	mu1031457	UFMu-02681	1	NA	NA	NA	NA	FALSE	Zm00004b010839	One-to-One	mRNA	moderate	missense_variant
Zm00001d012815	1	mu1053618	UFMu-06721	1	NA	NA	NA	NA	FALSE	Zm00004b010842	One-to-One	mRNA	moderate	missense_variant
Zm00001d012816	6	mu1019354|mu1019354|mu1083810|mu1086727|mu1092088|mu1092089	UFMu-00809|UFMu-04983|UFMu-09996|UFMu-10992|UFMu-11329|UFMu-11213	>=3	NA	NA	NA	NA	FALSE	Zm00004b010843	One-to-One	mRNA	low	splice_region_variant
Zm00001d012817	1	mu1082524	UFMu-09486	1	NA	NA	NA	NA	FALSE	Zm00004b010844	One-to-One	mRNA	low	synonymous_variant
Zm00001d012819	1	mu1081521	UFMu-09468	1	NA	NA	NA	NA	FALSE	Zm00004b010846	One-to-One	mRNA	moderate	missense_variant
Zm00001d012820	3	mu1053641|mu1086740|mu1092119	UFMu-06543|UFMu-10756|UFMu-13047	>=3	NA	NA	NA	NA	FALSE	Zm00004b010847	One-to-One	mRNA	moderate	conservative_inframe_insertion
Zm00001d012821	1	mu1035976	UFMu-03208	1	NA	NA	NA	NA	FALSE	Zm00004b010848	One-to-One	mRNA	high	splice_donor_variant
Zm00001d012822	3	mu1017988|mu1067834|mu1092140	UFMu-00598,UFMu-02760,UFMu-06773|UFMu-08754,UFMu-12250|UFMu-11660	>=3	NA	NA	NA	NA	FALSE	Zm00004b010850	One-to-One	mRNA	moderate	missense_variant
Zm00001d012824	1	mu1015441	UFMu-01489,UFMu-02987	1	NA	NA	NA	NA	FALSE	Zm00004b010852	One-to-One	mRNA	moderate	missense_variant
Zm00001d012825	1	mu1095093	UFMu-11878	1	NA	NA	NA	NA	FALSE	Zm00004b010853	One-to-One	mRNA	moderate	missense_variant
Zm00001d012827	3	mu1021026|mu1067838|mu1085003	UFMu-01682|UFMu-08301|UFMu-10101	>=3	NA	NA	NA	NA	FALSE	Zm00004b010855	One-to-One	mRNA	moderate	disruptive_inframe_deletion
Zm00001d012830	3	mu1015447|mu1053664|mu1067841	UFMu-01270|UFMu-06552|UFMu-08307	>=3	NA	NA	NA	NA	FALSE	Zm00004b010856	One-to-One	mRNA	moderate	missense_variant
Zm00001d012832	5	mu1007820|mu1022402|mu1023988|mu1067843|mu1071269	UFMu-00436|UFMu-02338|UFMu-03446,UFMu-11113|UFMu-08459|UFMu-02628	>=3	NA	NA	NA	NA	FALSE	Zm00004b010858	One-to-One	mRNA	high	frameshift_variant
Zm00001d012833	2	mu1009246|mu1087968	UFMu-00464|UFMu-10680	2	NA	NA	NA	NA	FALSE	Zm00004b010859	One-to-Many	mRNA	moderate	missense_variant
Zm00001d012834	5	mu1019732|mu1019732|mu1057144|mu1071928|mu1095097	UFMu-00990|UFMu-07428|UFMu-07428|UFMu-01992|UFMu-12933	>=3	NA	NA	NA	NA	FALSE	Zm00004b010859,Zm00004b010860	Many-to-Many,Many-to-One	mRNA	low	synonymous_variant
Zm00001d012836	1	mu1092146	UFMu-11666	1	NA	NA	NA	NA	FALSE	Zm00004b010862	One-to-One	mRNA	moderate	missense_variant
Zm00001d012838	4	mu1007084|mu1031543|mu1079815|mu1092149	UFMu-00075|UFMu-02826,UFMu-07583|UFMu-08940|UFMu-12944	>=3	NA	NA	NA	NA	FALSE	Zm00004b010864	One-to-One	mRNA	high	frameshift_variant
Zm00001d012840	3	mu1007466|mu1042773|mu1053669	UFMu-00011,UFMu-01155,UFMu-05970|UFMu-04970|UFMu-06542	>=3	NA	NA	NA	NA	FALSE	Zm00004b010865	One-to-Many	mRNA	moderate	missense_variant
Zm00001d012844	2	mu1082463|mu1091509	UFMu-09421|UFMu-11685	2	NA	NA	NA	NA	FALSE	Zm00004b010866	One-to-One	mRNA	moderate	missense_variant
Zm00001d012845	3	mu1043034|mu1053237|mu1081311	UFMu-05099|UFMu-06638|UFMu-09441	>=3	NA	NA	NA	NA	FALSE	Zm00004b010867	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d012846	1	mu1056719	UFMu-07494	1	NA	NA	NA	NA	FALSE	Zm00004b010868	One-to-One	mRNA	high	frameshift_variant
Zm00001d012847	2	mu1083598|mu1091514	UFMu-10380|UFMu-13423	2	NA	NA	NA	NA	FALSE	Zm00004b010869	One-to-One	mRNA	high	frameshift_variant
Zm00001d012848	1	mu1024660	UFMu-08281	1	NA	NA	NA	NA	FALSE	Zm00004b010870,Zm00004b010871	Many-to-One	mRNA	moderate	missense_variant
Zm00001d012849	3	mu1022011|mu1041270|mu1048331	UFMu-01407|UFMu-04529|UFMu-06462	>=3	NA	NA	NA	NA	FALSE	Zm00004b010872	One-to-One	mRNA	low	synonymous_variant
Zm00001d012851	3	mu1011303|mu1091516|mu1094915	UFMu-06413|UFMu-12292|UFMu-12156	>=3	NA	NA	NA	NA	FALSE	Zm00004b010874	One-to-One	mRNA	moderate	missense_variant
Zm00001d012852	3	mu1083602|mu1084879|mu1091518	UFMu-10381|UFMu-10381|UFMu-11882	>=3	NA	NA	NA	NA	FALSE	Zm00004b010875	One-to-One	mRNA	high	splice_donor_variant
Zm00001d012853	6	mu1043028|mu1048335|mu1048336|mu1073354|mu1084880|mu1084881	UFMu-05110|UFMu-06502|UFMu-06502|UFMu-03264|UFMu-10552|UFMu-10407,UFMu-10711	>=3	NA	NA	NA	NA	FALSE	Zm00004b010876	One-to-One	mRNA	moderate	missense_variant
Zm00001d012855	3	mu1009507|mu1043026|mu1072290	UFMu-00416|UFMu-05113|UFMu-01863	>=3	NA	NA	NA	NA	FALSE	Zm00004b010877	One-to-One	mRNA	moderate	missense_variant
Zm00001d012856	4	mu1034684|mu1043024|mu1045292|mu1086501	UFMu-03529,UFMu-07356|UFMu-04979|UFMu-05491|UFMu-11112	>=3	NA	NA	NA	NA	FALSE	Zm00004b010878	One-to-One	mRNA	moderate	missense_variant
Zm00001d012857	1	mu1032237	UFMu-02510	1	NA	NA	NA	NA	FALSE	Zm00004b010879	One-to-One	mRNA	low	splice_region_variant
Zm00001d012858	1	mu1083608	UFMu-10187	1	NA	NA	NA	NA	FALSE	Zm00004b010880	One-to-One	mRNA	non-syntenic	5_prime_UTR_variant
Zm00001d012859	2	mu1029708|mu1069515	UFMu-02507|UFMu-08747	2	NA	NA	NA	NA	FALSE	Zm00004b010881	One-to-One	mRNA	moderate	conservative_inframe_insertion
Zm00001d012861	1	mu1015014	UFMu-01824	1	NA	NA	NA	NA	FALSE	Zm00004b010883	One-to-One	mRNA	non-syntenic	splice_acceptor_variant
Zm00001d012863	3	mu1018108|mu1045305|mu1071173	UFMu-01071|UFMu-05472|UFMu-02628	>=3	NA	NA	NA	NA	FALSE	Zm00004b010884	One-to-One	mRNA	low	synonymous_variant
Zm00001d012865	3	mu1011586|mu1048365|mu1083618	UFMu-06498|UFMu-06508,UFMu-07720|UFMu-10408	>=3	NA	NA	NA	NA	FALSE	Zm00004b010886	One-to-One	mRNA	moderate	missense_variant
Zm00001d012867	1	mu1067474	UFMu-08805	1	NA	NA	NA	NA	FALSE	Zm00004b010888	One-to-One	mRNA	moderate	missense_variant
Zm00001d012868	5	mu1029774|mu1033238|mu1053267|mu1079667|mu1091565	UFMu-02902|UFMu-02902|UFMu-06856|UFMu-09290|UFMu-11423	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	missense_variant
Zm00001d012875	7	mu1035788|mu1035788|mu1038808|mu1053287|mu1056762|mu1067490|mu1086523	UFMu-03158|UFMu-06409,UFMu-06695|UFMu-03934|UFMu-06695|UFMu-07299|UFMu-08299|UFMu-10566	>=3	NA	NA	NA	NA	FALSE	Zm00004b010890	One-to-One	mRNA	moderate	missense_variant
Zm00001d012880	4	mu1015041|mu1029196|mu1056769|mu1065308	UFMu-01469|UFMu-02552|UFMu-07353,UFMu-08182|UFMu-00649	>=3	NA	NA	NA	NA	FALSE	Zm00004b010892	One-to-One	mRNA	moderate	missense_variant
Zm00001d012881	3	mu1003334|mu1032868|mu1056771	UFMu-00227|UFMu-02463|UFMu-07180	>=3	NA	NA	NA	NA	FALSE	Zm00004b010893	One-to-One	mRNA	moderate	missense_variant
Zm00001d012882	1	mu1042994	UFMu-04915	1	NA	NA	NA	NA	FALSE	Zm00004b010894	One-to-One	mRNA	moderate	missense_variant
Zm00001d012883	1	mu1094936	UFMu-13717	1	NA	NA	NA	NA	FALSE	Zm00004b010896	One-to-One	mRNA	moderate	missense_variant
Zm00001d012886	3	mu1007638|mu1082474|mu1084893	UFMu-00386|UFMu-09538|UFMu-10378	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	high	splice_acceptor_variant
Zm00001d012887	1	mu1091613	UFMu-11979	1	NA	NA	NA	NA	FALSE	Zm00004b010899	One-to-One	mRNA	moderate	missense_variant
Zm00001d012888	1	mu1056780	UFMu-07532,UFMu-07861	1	NA	NA	NA	NA	FALSE	Zm00004b010900	One-to-One	mRNA	modifier	5_prime_UTR_variant
Zm00001d012890	9	mu1030582|mu1030582|mu1032494|mu1032494|mu1048402|mu1069528|mu1073365|mu1081342|mu1091614	UFMu-02609|UFMu-09478,UFMu-11265|UFMu-03445|UFMu-06276|UFMu-06276|UFMu-08402|UFMu-03445,UFMu-04204|UFMu-09505|UFMu-12309	>=3	NA	NA	NA	NA	FALSE	Zm00004b010902	One-to-One	mRNA	modifier	intron_variant
Zm00001d012891	2	mu1017193|mu1017305	UFMu-00809,UFMu-01725|UFMu-00809,UFMu-01725	2	NA	NA	NA	NA	FALSE	Zm00004b010903,Zm00004b010904	Many-to-One	mRNA	high	stop_gained
Zm00001d012893	1	mu1091625	UFMu-11435	1	NA	NA	NA	NA	FALSE	Zm00004b010906	One-to-One	mRNA	moderate	missense_variant
Zm00001d012895	9	mu1008535|mu1021474|mu1024055|mu1026542|mu1026542|mu1041297|mu1045334|mu1086548|mu1086549	UFMu-00166|UFMu-01581,UFMu-02866|UFMu-12563|UFMu-03160|UFMu-12566|UFMu-04450|UFMu-05764|UFMu-10982|UFMu-10963	>=3	NA	NA	NA	NA	FALSE	Zm00004b010907	One-to-One	mRNA	moderate	missense_variant
Zm00001d012898	1	mu1033448	UFMu-03220	1	NA	NA	NA	NA	FALSE	Zm00004b010910	One-to-One	mRNA	moderate	missense_variant
Zm00001d012900	1	mu1073368	UFMu-03479	1	NA	NA	NA	NA	FALSE	Zm00004b010912	One-to-One	mRNA	moderate	disruptive_inframe_deletion
Zm00001d012902	2	mu1016250|mu1042966	UFMu-02444|UFMu-04895	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	transcript_ablation
Zm00001d012911	3	mu1009446|mu1072796|mu1074371	UFMu-00300|UFMu-03363|UFMu-03766	>=3	NA	NA	NA	NA	FALSE	Zm00004b010921	One-to-One	mRNA	non-syntenic	3_prime_UTR_variant
Zm00001d012912	3	mu1009446|mu1072796|mu1074371	UFMu-00300|UFMu-03363|UFMu-03766	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	transcript_ablation
Zm00001d012913	2	mu1042952|mu1045351	UFMu-04869|UFMu-05761	2	NA	NA	NA	NA	FALSE	Zm00004b010922	One-to-One	mRNA	moderate	disruptive_inframe_deletion
Zm00001d012915	1	mu1056839	UFMu-07326	1	NA	NA	NA	NA	FALSE	Zm00004b010925	One-to-One	mRNA	moderate	missense_variant
Zm00001d012916	4	mu1023225|mu1023225|mu1048470|mu1050475	UFMu-02389,UFMu-02796,UFMu-03136|UFMu-04588,UFMu-05596,UFMu-11218|UFMu-06526|UFMu-06523	>=3	SBP	30	8	8/30	TRUE	Zm00004b010926	One-to-One	mRNA	moderate	missense_variant
Zm00001d012917	1	mu1042942	UFMu-05113	1	NA	NA	NA	NA	FALSE	Zm00004b010927	One-to-One	mRNA	moderate	missense_variant
Zm00001d012918	1	mu1018205	UFMu-01180	1	NA	NA	NA	NA	FALSE	Zm00004b010928	One-to-One	mRNA	low	synonymous_variant
Zm00001d012921	1	mu1024188	UFMu-11977	1	NA	NA	NA	NA	FALSE	Zm00004b010930	One-to-One	mRNA	no_change	NA
Zm00001d012922	2	mu1018937|mu1067593	UFMu-01110|UFMu-08578	2	NA	NA	NA	NA	FALSE	Zm00004b010931	One-to-One	mRNA	no_change	NA
Zm00001d012931	8	mu1007144|mu1009667|mu1035446|mu1045388|mu1053443|mu1067653|mu1074385|mu1079738	UFMu-00212,UFMu-04179|UFMu-00223,UFMu-03221,UFMu-04133|UFMu-03223,UFMu-10402|UFMu-05893,UFMu-08183|UFMu-07105|UFMu-08597|UFMu-03675|UFMu-09013	>=3	NA	NA	NA	NA	FALSE	Zm00004b010938	One-to-One	mRNA	no_change	NA
Zm00001d012932	2	mu1045389|mu1095011	UFMu-05693|UFMu-13149	2	NA	NA	NA	NA	FALSE	Zm00004b010939	One-to-One	mRNA	modifier	3_prime_UTR_variant
Zm00001d012933	3	mu1075545|mu1083713|mu1086639	UFMu-05381|UFMu-10004|UFMu-11119	>=3	NA	NA	NA	NA	FALSE	Zm00004b010940	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d012934	5	mu1007854|mu1015263|mu1019176|mu1033336|mu1067659	UFMu-00566|UFMu-01585|UFMu-00957|UFMu-03077,UFMu-04665,UFMu-04924|UFMu-08608	>=3	NA	NA	NA	NA	FALSE	Zm00004b010941	One-to-One	mRNA	moderate	disruptive_inframe_insertion
Zm00001d012936	4	mu1002352|mu1060159|mu1060160|mu1069593	UFMu-00309|UFMu-07990|UFMu-08143|UFMu-08771	>=3	NA	NA	NA	NA	FALSE	Zm00004b010943	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d012938	2	mu1015277|mu1091893	UFMu-00987,UFMu-01682,UFMu-02198|UFMu-11257	2	NA	NA	NA	NA	FALSE	Zm00004b010945	One-to-One	mRNA	high	frameshift_variant
Zm00001d012939	3	mu1029275|mu1029275|mu1087940	UFMu-02634|UFMu-07510|UFMu-10595	>=3	NA	NA	NA	NA	FALSE	Zm00004b010946	One-to-One	mRNA	moderate	missense_variant
Zm00001d012953	1	mu1079754	UFMu-09139	1	NA	NA	NA	NA	FALSE	Zm00004b010947	One-to-One	mRNA	high	frameshift_variant
Zm00001d012954	1	mu1071900	UFMu-01904	1	NA	NA	NA	NA	FALSE	Zm00004b010948	One-to-One	mRNA	moderate	missense_variant
Zm00001d012955	1	mu1035697	UFMu-03099	1	NA	NA	NA	NA	FALSE	Zm00004b010949	One-to-One	mRNA	high	splice_donor_variant
Zm00001d012958	2	mu1071225|mu1081444	UFMu-02510|UFMu-09478	2	NA	NA	NA	NA	FALSE	Zm00004b010952	One-to-One	mRNA	moderate	missense_variant
Zm00001d012961	3	mu1015282|mu1060164|mu1086649	UFMu-01275|UFMu-07749|UFMu-10951	>=3	NA	NA	NA	NA	FALSE	Zm00004b010953	One-to-One	mRNA	moderate	missense_variant
Zm00001d012962	2	mu1035540|mu1048615	UFMu-03454|UFMu-06403	2	NA	NA	NA	NA	FALSE	Zm00004b010954	One-to-One	mRNA	moderate	missense_variant
Zm00001d012964	2	mu1039021|mu1060166	UFMu-03717|UFMu-07881	2	NA	NA	NA	NA	FALSE	Zm00004b010958	One-to-One	mRNA	moderate	missense_variant
Zm00001d012965	4	mu1030208|mu1042864|mu1060167|mu1060168	UFMu-02510|UFMu-04988|UFMu-07808|UFMu-07751	>=3	NA	NA	NA	NA	FALSE	Zm00004b010959	One-to-One	mRNA	moderate	missense_variant
Zm00001d012966	10	mu1009149|mu1009149|mu1015286|mu1032118|mu1032118|mu1032865|mu1032865|mu1039022|mu1069595|mu1091899	UFMu-00563|UFMu-01802|UFMu-01068,UFMu-02255|UFMu-02774|UFMu-06542,UFMu-07607|UFMu-03031|UFMu-11978|UFMu-02967|UFMu-08768|UFMu-11619	>=3	NA	NA	NA	NA	FALSE	Zm00004b010960	One-to-One	mRNA	modifier	3_prime_UTR_variant
Zm00001d012969	3	mu1060170|mu1079760|mu1079760	UFMu-08182|UFMu-09023|UFMu-10860	>=3	NA	NA	NA	NA	FALSE	Zm00004b010963	One-to-One	mRNA	moderate	missense_variant
Zm00001d012974	3	mu1039028|mu1077781|mu1082502	UFMu-04209,UFMu-06890|UFMu-09398|UFMu-09547	>=3	NA	NA	NA	NA	FALSE	Zm00004b010969	One-to-One	mRNA	low	synonymous_variant
Zm00001d012975	1	mu1056970	UFMu-07629	1	NA	NA	NA	NA	FALSE	Zm00004b010970	One-to-One	mRNA	moderate	missense_variant
Zm00001d012979	3	mu1021616|mu1042862|mu1060175	UFMu-01464|UFMu-05113|UFMu-08159	>=3	NA	NA	NA	NA	FALSE	Zm00004b010972	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d012980	3	mu1017228|mu1019031|mu1065271	UFMu-00685,UFMu-01391,UFMu-03254,UFMu-04207|UFMu-00645|UFMu-00685,UFMu-03254,UFMu-04207	>=3	NA	NA	NA	NA	FALSE	Zm00004b010973,Zm00004b010974	Many-to-Many,Many-to-One	mRNA	non-syntenic	missense_variant
Zm00001d012984	3	mu1019656|mu1048627|mu1091913	UFMu-00754|UFMu-06475|UFMu-11966	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	5_prime_UTR_variant
Zm00001d012988	1	mu1048628	UFMu-06448	1	NA	NA	NA	NA	FALSE	Zm00004b010977	One-to-One	mRNA	high	splice_acceptor_variant
Zm00001d012991	1	mu1025588	UFMu-04198	1	NA	NA	NA	NA	FALSE	Zm00004b010978	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d012993	4	mu1018128|mu1018128|mu1048629|mu1073383	UFMu-00948,UFMu-03145|UFMu-04886,UFMu-05383|UFMu-06118|UFMu-03145	>=3	NA	NA	NA	NA	FALSE	Zm00004b010982	One-to-One	mRNA	moderate	missense_variant
Zm00001d012996	4	mu1023333|mu1051434|mu1056982|mu1071228	UFMu-02112|UFMu-06472|UFMu-07307|UFMu-02510	>=3	NA	NA	NA	NA	FALSE	Zm00004b010984	One-to-One	mRNA	high	start_lost
Zm00001d012998	3	mu1009586|mu1067697|mu1086656	UFMu-00456|UFMu-08699|UFMu-11122	>=3	NA	NA	NA	NA	FALSE	Zm00004b010986	One-to-One	mRNA	low	synonymous_variant
Zm00001d013005	3	mu1021844|mu1039034|mu1067701	UFMu-01365,UFMu-01951|UFMu-04085,UFMu-06546|UFMu-04085,UFMu-08718	>=3	NA	NA	NA	NA	FALSE	Zm00004b010992	One-to-One	mRNA	moderate	missense_variant
Zm00001d013006	2	mu1009875|mu1072314	UFMu-00071|UFMu-01874	2	NA	NA	NA	NA	FALSE	Zm00004b010993	One-to-One	mRNA	moderate	conservative_inframe_insertion
Zm00001d013007	1	mu1079763	UFMu-09410,UFMu-10934	1	NA	NA	NA	NA	FALSE	Zm00004b010994	One-to-One	mRNA	moderate	missense_variant
Zm00001d013008	1	mu1009227	UFMu-00252	1	NA	NA	NA	NA	FALSE	Zm00004b010995	One-to-One	mRNA	moderate	missense_variant
Zm00001d013010	5	mu1039036|mu1048635|mu1053505|mu1060180|mu1095032	UFMu-03853,UFMu-07868|UFMu-06448|UFMu-06684|UFMu-07868|UFMu-11659	>=3	NA	NA	NA	NA	FALSE	Zm00004b010996	One-to-One	mRNA	non-syntenic	conservative_inframe_insertion
Zm00001d013012	3	mu1041391|mu1081456|mu1087944	UFMu-04760,UFMu-11151|UFMu-09903|UFMu-10918	>=3	NA	NA	NA	NA	FALSE	Zm00004b010999	One-to-One	mRNA	high	splice_acceptor_variant
Zm00001d013014	3	mu1015302|mu1045421|mu1045421	UFMu-01990|UFMu-05381|UFMu-07225,UFMu-13308,UFMu-13716	>=3	NA	NA	NA	NA	FALSE	Zm00004b011005,Zm00004b011006	Many-to-Many,Many-to-One	mRNA	high	frameshift_variant
Zm00001d013015	1	mu1045422	UFMu-05793	1	NA	NA	NA	NA	FALSE	Zm00004b011006	One-to-Many	mRNA	moderate	missense_variant
Zm00001d013019	3	mu1067709|mu1067710|mu1067711	UFMu-08773|UFMu-08754|UFMu-03775,UFMu-08670	>=3	NA	NA	NA	NA	FALSE	Zm00004b011010	One-to-One	mRNA	modifier	intron_variant
Zm00001d013022	1	mu1053511	UFMu-06936	1	NA	NA	NA	NA	FALSE	Zm00004b011016	One-to-One	mRNA	moderate	missense_variant
Zm00001d013025	2	mu1003485|mu1015305	UFMu-00422|UFMu-02344	2	NA	NA	NA	NA	FALSE	Zm00004b011020	One-to-One	mRNA	moderate	missense_variant
Zm00001d013027	2	mu1042852|mu1048642	UFMu-05024|UFMu-06477	2	NA	NA	NA	NA	FALSE	Zm00004b011021	One-to-One	mRNA	moderate	missense_variant
Zm00001d013028	1	mu1072818	UFMu-03243	1	NA	NA	NA	NA	FALSE	Zm00004b011022	One-to-One	mRNA	low	synonymous_variant
Zm00001d013029	2	mu1023921|mu1033171	UFMu-08761|UFMu-03258	2	NA	NA	NA	NA	FALSE	Zm00004b011027	One-to-One	mRNA	high	frameshift_variant
Zm00001d013030	3	mu1015307|mu1015307|mu1081461	UFMu-01068,UFMu-02255|UFMu-13987|UFMu-09422	>=3	NA	NA	NA	NA	FALSE	Zm00004b011028	One-to-One	mRNA	moderate	missense_variant
Zm00001d013031	5	mu1023184|mu1053512|mu1065267|mu1071233|mu1083745	UFMu-02412|UFMu-06586,UFMu-07842|UFMu-00913|UFMu-02602,UFMu-03667|UFMu-10403	>=3	NA	NA	NA	NA	FALSE	Zm00004b011029	One-to-One	mRNA	moderate	missense_variant
Zm00001d013033	1	mu1067714	UFMu-08261	1	NA	NA	NA	NA	FALSE	Zm00004b011031	One-to-One	mRNA	moderate	missense_variant
Zm00001d013034	1	mu1081464	UFMu-09463	1	NA	NA	NA	NA	FALSE	Zm00004b011032	One-to-One	mRNA	low	synonymous_variant
Zm00001d013037	1	mu1073386	UFMu-03429,UFMu-11149	1	NA	NA	NA	NA	FALSE	Zm00004b011033	One-to-One	mRNA	high	frameshift_variant
Zm00001d013040	2	mu1039042|mu1041402	UFMu-03731|UFMu-04413	2	NA	NA	NA	NA	FALSE	Zm00004b011037	One-to-One	mRNA	low	synonymous_variant
Zm00001d013042	5	mu1033636|mu1057000|mu1057001|mu1086667|mu1087946	UFMu-03259|UFMu-07392|UFMu-07312|UFMu-11018|UFMu-11119	>=3	NA	NA	NA	NA	FALSE	Zm00004b011039	One-to-One	mRNA	no_change	NA
Zm00001d013043	3	mu1019877|mu1053517|mu1053518	UFMu-01002|UFMu-06550|UFMu-06550	>=3	NA	NA	NA	NA	FALSE	Zm00004b011040	One-to-One	mRNA	moderate	missense_variant
Zm00001d013045	5	mu1020023|mu1035102|mu1057003|mu1077801|mu1083747	UFMu-01008|UFMu-03480|UFMu-07181|UFMu-09399|UFMu-10455	>=3	NA	NA	NA	NA	FALSE	Zm00004b011042	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d013046	6	mu1019040|mu1035142|mu1053520|mu1072819|mu1083748|mu1087191	UFMu-01086|UFMu-03204|UFMu-06869|UFMu-03293|UFMu-10393|UFMu-10623	>=3	NA	NA	NA	NA	FALSE	Zm00004b011043	One-to-One	mRNA	high	start_lost
Zm00001d013047	2	mu1031214|mu1091939	UFMu-02888|UFMu-12990	2	NA	NA	NA	NA	FALSE	Zm00004b011044	One-to-One	mRNA	non-syntenic	synonymous_variant
Zm00001d013048	4	mu1031894|mu1057004|mu1067719|mu1081466	UFMu-02631,UFMu-03720|UFMu-07148|UFMu-08418|UFMu-09457	>=3	NA	NA	NA	NA	FALSE	Zm00004b011045	One-to-One	mRNA	non-syntenic	stop_gained
