gid	gid_v3	symbol	note
Zm00001d016755	GRMZM2G037823	thx42	Trihelix-transcription factor 42
Zm00001d016756	GRMZM2G037865	umc1482	NA
Zm00001d016760	GRMZM2G057841	aasr6	abscisic acid stress ripening6
Zm00001d016768	GRMZM2G118737	invan2	invertase alkaline neutral2
Zm00001d016770	GRMZM2G438622	cl22768_2	NA
Zm00001d016771	GRMZM2G043193	amt9	ammonium transporter9
Zm00001d016772	GRMZM2G043250	farl7	FAR1-like-transcription factor 7
Zm00001d016783	GRMZM2G000278	spk1	stress-induced protein kinase1
Zm00001d016784	GRMZM2G119133	mybr28	MYB-related-transcription factor 28
Zm00001d016791	GRMZM5G839969	mads66	MADS-transcription factor 66
Zm00001d016793	GRMZM5G885700	cchh133	Cys2His2 Zinc Finger133
Zm00001d016797	GRMZM2G165631	pza02040	NA
Zm00001d016798	GRMZM2G114241	mmc0081	NA
Zm00001d016801	GRMZM2G139031	ogg1	8-oxoguanine DNA glycolyase1
Zm00001d016802	GRMZM2G006791	pco131924a	NA
Zm00001d016803	GRMZM2G090213	kelp2	p15 (PC4 Sub1)-transcription factor 2
Zm00001d016814	GRMZM2G094067	nactf133	NAC-transcription factor 133
Zm00001d016816	GRMZM2G093716	IDP51	NA
Zm00001d016823	NA	phi333597	NA
Zm00001d016827	GRMZM2G337749	nfe101	nucleosome/chromatin assembly factor group E (ACF1 homologs) 101
Zm00001d016828	GRMZM2G165521	yg3	yellow-green3
Zm00001d016836	GRMZM5G849788	rgh3	rough endosperm3
Zm00001d016838	GRMZM2G702026	arftf36	ARF-transcription factor 36
Zm00001d016839	GRMZM2G157817	xrcc3	X-ray repair complementing defective repair in Chinese hamster3
Zm00001d016848	GRMZM2G087040	ereb157	AP2-EREBP-transcription factor 157
Zm00001d016850	GRMZM2G121468	vp15	viviparous15
Zm00001d016856	GRMZM2G113453	cbp1	calmodulin binding protein1
Zm00001d016857	GRMZM2G113583	zar7	Zea mays ARGOS7
Zm00001d016860	GRMZM2G064255	gst17	glutathione transferase17
Zm00001d016861	GRMZM2G063864	alf2	Alfin-like-transcription factor 2
Zm00001d016864	GRMZM2G421234	umc1822	NA
Zm00001d016873	GRMZM5G839518	bhlh152	bHLH-transcription factor 152
Zm00001d016876	GRMZM2G380094	thx24	Trihelix-transcription factor 24
Zm00001d016900	GRMZM2G105429	mmp47	NA
Zm00001d016906	GRMZM2G404767	pme24	pectin methylesterase24
Zm00001d016907	GRMZM2G404769	pap28	purple acid phosphatase28
Zm00001d016908	GRMZM2G176358	uaz248b(his3)	NA
Zm00001d016911	GRMZM2G023988	cchh3	Cys2His2 Zinc Finger3
Zm00001d016914	GRMZM2G328814	mybr94	MYB-related-transcription factor 94
Zm00001d016915	GRMZM2G024739	cry1	cryptochrome1
Zm00001d016916	GRMZM2G025236	umc1264	NA
Zm00001d016924	GRMZM2G040481	eil8	EIL-transcription factor 8
Zm00001d016928	GRMZM2G115420	serk2	somatic embryogenesis receptor-like kinase2
Zm00001d016935	GRMZM2G075637	nfa104	nucleosome/chromatin assembly factor A104
Zm00001d016938	GRMZM2G081589	sut5	sucrose transporter5
Zm00001d016950	GRMZM2G146380	nactf30	NAC-transcription factor 30
Zm00001d016952	GRMZM2G001223	myb126	MYB-transcription factor 126
Zm00001d016957	GRMZM2G492156	mads19	MADS-transcription factor 19
Zm00001d016979	GRMZM2G410710	phb3	prohibitin3
Zm00001d016982	GRMZM2G176253	npf9	nitrate transporter/peptide transporter family9
Zm00001d016993	GRMZM2G444643	tlc11	TRAM/LAG/CRN8 11
Zm00001d017032	GRMZM2G109959	umc2303	NA
Zm00001d017043	GRMZM2G089517	pza01304	NA
Zm00001d017072	GRMZM2G092447	nbr1a	next to brca1a-like
Zm00001d017077	GRMZM2G025832	pr1	red aleurone1
Zm00001d017079	GRMZM2G044359	umc1155	NA
Zm00001d017084	GRMZM2G038073	nactf13	NAC-transcription factor 13
Zm00001d017095	GRMZM2G179294	npf5	nitrate transporter/peptide transporter family5
Zm00001d017096	GRMZM2G179308	AY111089	NA
Zm00001d017111	AC205703.4_FG006	gl8	glossy8
Zm00001d017112	GRMZM5G834874	abi35	ABI3-VP1-transcription factor 35
Zm00001d017114	GRMZM2G144166	tel2	telomere maintenance2
Zm00001d017118	GRMZM2G030606	csu173	NA
Zm00001d017120	GRMZM2G031496	nbp35	nuclear binding protein35
Zm00001d017121	GRMZM2G176307	gpc4	glyceraldehyde-3-phosphate dehydrogenase4
Zm00001d017125	GRMZM2G308203	mmp90	NA
Zm00001d017129	GRMZM2G408012	gras39	GRAS-transcription factor 39
Zm00001d017130	GRMZM2G024550	mterf17	mTERF domain protein17
Zm00001d017134	GRMZM2G127121	pebp16	phosphatidylethanolamine-binding protein16
Zm00001d017139	GRMZM2G137409	lw2	lemon white2
Zm00001d017147	GRMZM2G095299	dbb6	double B-box zinc finger protein6
Zm00001d017152	GRMZM2G129189	epr4	endochitinase precursor4
Zm00001d017164	GRMZM2G117108	farl8	FAR1-like-transcription factor 8
Zm00001d017165	GRMZM2G106653	farl9	FAR1-like-transcription factor 9
Zm00001d017167	GRMZM2G007466	AY107329	NA
Zm00001d017176	GRMZM2G021777	col3	C2C2-CO-like-transcription factor 3
Zm00001d017179	GRMZM2G081955	tab2	translation chloroplast psaB mRNA2 homolog
Zm00001d017186	GRMZM2G035584	hct6	hydroxycinnamoyltransferase6
Zm00001d017207	GRMZM2G366434	ereb206	AP2-EREBP-transcription factor 206
Zm00001d017241	GRMZM2G148453	toc2	timing of cab expression2
Zm00001d017243	GRMZM2G027697	myb86	MYB-transcription factor 86
Zm00001d017249	GRMZM2G028736	amt2	ammonium transporter2
Zm00001d017258	GRMZM2G064695	scoal1	succinyl-CoA ligase1
Zm00001d017260	GRMZM2G111504	bzip69	bZIP-transcription factor 69
Zm00001d017268	GRMZM2G095904	myb41	MYB-transcription factor 41
Zm00001d017270	GRMZM2G096753	ppck3	phosphoenolpyruvate carboxylase kinase3
Zm00001d017274	GRMZM2G074604	pal1	phenylalanine ammonia lyase homolog1
Zm00001d017275	GRMZM2G029048	pal9	phenylalanine ammonia lyase9
Zm00001d017276	GRMZM2G334660	pal8	phenylalanine ammonia lyase8
Zm00001d017279	GRMZM2G170692	pal7	phenylalanine ammonia lyase7
Zm00001d017280	GRMZM2G370991	ein3	ethylene insensitive3
Zm00001d017288	GRMZM2G154628	pip2d	plasma membrane intrinsic protein2
Zm00001d017292	GRMZM2G153488	def4	defensin-like protein4
Zm00001d017293	GRMZM2G153368	GRMZM2G153368	NA
Zm00001d017294	GRMZM2G153359	ga2ox4	gibberellin 2-oxidase4
Zm00001d017330	GRMZM2G053236	pco093974b	NA
Zm00001d017350	GRMZM2G178603	tcptf16	TCP-transcription factor 16
Zm00001d017352	GRMZM2G178517	nit1	nitrilase1
Zm00001d017366	GRMZM2G139765	ereb76	AP2-EREBP-transcription factor 76
Zm00001d017382	GRMZM2G170034	limtf9	LIM-transcription factor 9
Zm00001d017383	GRMZM2G170049	myb26	MYB-transcription factor 26
Zm00001d017385	GRMZM2G040924	myb89	MYB-transcription factor 89
Zm00001d017391	GRMZM2G529859	yab15	yabby15
Zm00001d017396	GRMZM2G315140	nactf10	NAC-transcription factor 10
Zm00001d017399	GRMZM2G463291	vpe1	vacuolar processing enzyme1
Zm00001d017403	GRMZM2G109348	atg13b	autophagy13b
Zm00001d017409	GRMZM2G140669	gata3	C2C2-GATA-transcription factor 3
Zm00001d017412	GRMZM2G110541	dbb7	double B-box zinc finger protein7
Zm00001d017418	GRMZM2G169458	aldh17	aldehyde dehydrogenase17
Zm00001d017420	GRMZM2G169580	thx20	Trihelix-transcription factor 20
Zm00001d017422	GRMZM2G117164	hb41	Homeobox-transcription factor 41
Zm00001d017423	GRMZM2G117238	orc2	origin recognition complex2
Zm00001d017429	GRMZM2G156599	ys1	yellow stripe1
Zm00001d017432	GRMZM2G156575	ubl1	U6 biogenesis like1
Zm00001d017444	NA	umc126a	NA
Zm00001d017445	GRMZM2G031952	AY109938	NA
Zm00001d017449	GRMZM2G171444	rpl19	ribosomal protein L19
Zm00001d017456	GRMZM2G097728	ypt2	ypt homolog2
Zm00001d017462	GRMZM2G466044	ereb195	AP2-EREBP-transcription factor 195
Zm00001d017466	GRMZM2G057386	ereb107	AP2-EREBP-transcription factor 107
Zm00001d017477	GRMZM5G842961	ereb30	AP2-EREBP-transcription factor 30
Zm00001d017478	GRMZM2G041839	ereb66	AP2-EREBP-transcription factor 66
Zm00001d017480	GRMZM5G816314	ereb104	AP2-EREBP-transcription factor 104
Zm00001d017485	GRMZM2G056908	tip2b	tonoplast intrinsic protein2
Zm00001d017502	GRMZM2G112830	trpp6	trehalose-6-phosphate phosphatase6
Zm00001d017503	GRMZM2G112914	inp1	inaperturate pollen1
Zm00001d017507	GRMZM2G071468	mybr11	MYB-related-transcription factor 11
Zm00001d017513	GRMZM2G110579	gras10	GRAS-transcription factor 10
Zm00001d017514	GRMZM2G024245	umc54	NA
Zm00001d017526	AC209208.3_FG002	pip1b	plasma membrane intrinsic protein1
Zm00001d017540	GRMZM2G005909	ggps4	geranylgeranyl pyrophosphate synthase4
Zm00001d017545	GRMZM2G112247	phm532	NA
Zm00001d017555	GRMZM2G013821	hmg2	high mobility group box protein2
Zm00001d017560	GRMZM2G090595	iddp10	indeterminate domain p10
Zm00001d017563	GRMZM2G106185	glk20	G2-like-transcription factor 20
Zm00001d017575	GRMZM2G171852	dof22	C2C2-Dof-transcription factor 22
Zm00001d017584	GRMZM2G481755	umc1752	NA
Zm00001d017591	GRMZM2G434203	ereb10	AP2-EREBP-transcription factor 10
Zm00001d017592	GRMZM2G137341	ereb16	AP2-EREBP-transcription factor 16
Zm00001d017595	GRMZM2G037200	c3h34	C3H-transcription factor 334
Zm00001d017597	GRMZM2G166976	spx1	SPX domain-containing membrane protein1
Zm00001d017601	GRMZM2G072911	pco065449	NA
Zm00001d017602	GRMZM2G045977	grftf13	GRF-transcription factor 13
Zm00001d017606	GRMZM2G041761	ofp23	OVATE-transcription factor 23
Zm00001d017608	AC209374.4_FG002	mecs2	methyl erythritol cyclodiphosphate synthase2
Zm00001d017609	GRMZM5G833032	mybr100	MYB-related-transcription factor 100
Zm00001d017614	GRMZM2G160565	bde1	bearded-ear1
Zm00001d017616	GRMZM2G058292	tt1	Transparent testa glabra1-like
Zm00001d017617	GRMZM2G058432	pac1	pale aleurone color1
Zm00001d017618	GRMZM2G024948	abi16	ABI3-VP1-transcription factor 16
Zm00001d017629	AC185464.3_FG003	umc1524	NA
Zm00001d017642	GRMZM2G029850	mybr52	MYB-related-transcription factor 52
Zm00001d017646	GRMZM5G874697	php20531	NA
Zm00001d017649	GRMZM2G039725	umc1941	NA
Zm00001d017666	GRMZM2G044851	npf10	nitrate transporter/peptide transporter family10
Zm00001d017677	GRMZM2G111146	bhlh53	bHLH-transcription factor 53
Zm00001d017682	GRMZM2G004548	platz11	PLATZ-transcription factor 11
Zm00001d017691	GRMZM2G169326	hagtf25	GNAT-transcription factor 25
Zm00001d017696	GRMZM2G076562	prx64	peroxidase64
Zm00001d017700	GRMZM2G060919	jmj15	JUMONJI-transcription factor 15
Zm00001d017702	GRMZM2G060834	glk47	G2-like-transcription factor 47
Zm00001d017711	GRMZM2G162529	prk1	phosphoribulokinase1
Zm00001d017712	GRMZM5G823157	wrky46	WRKY-transcription factor 46
Zm00001d017713	GRMZM2G076313	bnlg609	NA
Zm00001d017719	GRMZM2G054201	umc2306	NA
Zm00001d017724	AC233960.1_FG005	bhlh122	bHLH-transcription factor 122
Zm00001d017726	AC233960.1_FG003	glk11	G2-like-transcription factor 11
Zm00001d017727	AC233960.1_FG002	aox1	alternative oxidase1
Zm00001d017729	GRMZM2G108829	mpkl1	MAP kinase-like1
Zm00001d017733	GRMZM2G127106	expb11	beta expansin11
Zm00001d017742	GRMZM2G034876	grftf6	GRF-transcription factor 6
Zm00001d017746	GRMZM2G035213	vte4	vitamin E synthesis4
Zm00001d017751	GRMZM2G325019	otp51	organelle transcript processing51
Zm00001d017762	GRMZM2G179147	abh1	abscisic acid 8'-hydroxylase1
Zm00001d017766	GRMZM2G150363	nced8	nine-cis-epoxycarotenoid dioxygenase8
Zm00001d017773	GRMZM2G115701	tubtf9	TUB-transcription factor 9
Zm00001d017778	GRMZM2G101350	bhlh29	bHLH-transcription factor 29
Zm00001d017782	AC204212.4_FG001	mybr78	MYB-related-transcription factor 78
Zm00001d017784	GRMZM2G417229	zhd12	ZF-HD-transcription factor 12
Zm00001d017787	GRMZM2G320307	prr1	putidaredoxin reductase homolog1
Zm00001d017788	GRMZM2G140694	dof29	C2C2-Dof-transcription factor 29
Zm00001d017793	GRMZM2G147377	rz567a(klc)	NA
Zm00001d017804	AC216731.3_FG001	bhlh89	bHLH-transcription factor 89
Zm00001d017806	GRMZM2G009506	sln1	sister of liguleless narrow1
Zm00001d017831	GRMZM2G421899	arid5	ARID-transcription factor 5
Zm00001d017857	GRMZM5G837108	ant1	adenine nucleotide translocator1
Zm00001d017862	GRMZM2G045544	phd22	PHD-transcription factor 22
Zm00001d017885	GRMZM2G075562	col5	C2C2-CO-like-transcription factor 5
Zm00001d017898	GRMZM2G011789	lec1	LEC1 transcription factor1
Zm00001d017900	GRMZM2G394941	dof42	C2C2-Dof-transcription factor 42
Zm00001d017905	GRMZM2G145594	bsdtf6	BSD-transcription factor 6
Zm00001d017908	GRMZM2G317450	bhlh156	bHLH-transcription factor 156
Zm00001d017911	GRMZM2G020799	bzip13	bZIP-transcription factor 13
Zm00001d017912	GRMZM2G315726	tlc12	TRAM/LAG/CRN8 12
Zm00001d017930	GRMZM5G899787	orrm1	organelle RRM protein1
Zm00001d017931	GRMZM2G341479	ppr61	pentatricopeptide repeat61
Zm00001d017932	GRMZM2G044408	mads26	MADS-transcription factor 26
Zm00001d017939	GRMZM2G041991	col12	2C2-CO-like-transcription factor 12
Zm00001d017941	GRMZM2G478140	gl4b	3-ketoacyl-CoA synthase gl4b
Zm00001d017958	GRMZM5G872068	gln4	glutamine synthetase4
Zm00001d017964	GRMZM2G481730	rdr1	RNA-dependent RNA polymerase1
Zm00001d017977	GRMZM2G151223	hsf1	hairy sheath frayed1
Zm00001d017986	GRMZM2G378665	e2f7	E2F-DP-transcription factor 27
Zm00001d017992	GRMZM2G179768	GRMZM2G179768	NA
Zm00001d018001	GRMZM5G812555	nbcs16	nucleobase:cation symporter16
Zm00001d018004	GRMZM2G415327	rop1	Rho-related protein from plants 1
Zm00001d018024	GRMZM2G074267	pin2	PIN-formed protein2
Zm00001d018031	GRMZM2G105844	expa2	alpha expansin2
Zm00001d018033	GRMZM2G105791	gss1	starch synthase homolog1
Zm00001d018034	GRMZM2G105644	ggh1	geranylgeranyl hydrogenase1
Zm00001d018035	GRMZM2G105641	nlp12	NLP-transcription factor 12
Zm00001d018037	GRMZM2G028325	nip2a	NOD26-like membrane intrinsic protein2
Zm00001d018038	GRMZM2G100593	nactf59	NAC-transcription factor 59
Zm00001d018045	GRMZM2G077755	tcptf26	TCP-transcription factor 26
Zm00001d018050	GRMZM2G130459	ereb187	AP2-EREBP-transcription factor 187
Zm00001d018056	GRMZM2G036092	bhlh30	bHLH-transcription factor 30
Zm00001d018060	GRMZM2G070045	gpm874b	NA
Zm00001d018065	GRMZM2G017355	mterf18	mTERF domain protein7b
Zm00001d018066	GRMZM2G017429	mterf19	mTERF-domain protein19
Zm00001d018069	GRMZM5G862663	atpc1	ATP synthase chloroplast subunit1
Zm00001d018081	GRMZM2G055204	ereb18	AP2-EREBP-transcription factor 18
Zm00001d018082	GRMZM2G055150	trpp7	trehalose-6-phosphate phosphatase7
Zm00001d018085	GRMZM2G160211	gpm17	NA
Zm00001d018089	GRMZM2G061941	vq31	VQ motif-transcription factor31
Zm00001d018090	GRMZM2G061950	anx2	annexin2
Zm00001d018097	GRMZM2G159547	myb48	MYB-transcription factor 48
Zm00001d018098	GRMZM2G159542	ami3	amidase3
Zm00001d018099	GRMZM2G159535	aprl4	adenosine 5'-phosphosulfate reductase-like4
Zm00001d018119	GRMZM2G045883	bhlh161	bHLH-transcription factor 161
Zm00001d018124	GRMZM2G161146	mterf21	mTERF domain protein21
Zm00001d018142	GRMZM2G046885	mads73	MADS-transcription factor 73
Zm00001d018145	GRMZM2G101271	prep2	presequence protease2
Zm00001d018149	GRMZM2G101613	cki5	cyclin-dependent kinase inhibitor5
Zm00001d018151	GRMZM2G083138	GRMZM2G083138	NA
Zm00001d018157	GRMZM2G103101	lhcb4	light harvesting complex a/b protein4
Zm00001d018158	GRMZM2G103085	ereb139	AP2-EREBP-transcription factor 139
Zm00001d018161	GRMZM2G102959	nii1	nitrate reductase1
Zm00001d018177	GRMZM2G152703	bnlg1118	NA
Zm00001d018178	GRMZM2G479760	bzip4	bZIP-transcription factor 4
Zm00001d018181	GRMZM2G069298	fls2	flavonol synthase2
Zm00001d018183	GRMZM2G152827	mpt1	mitochondrial phosphate transporter1
Zm00001d018184	GRMZM2G152801	fls1	flavonol synthase1
Zm00001d018191	GRMZM2G021369	ereb136	AP2-EREBP-transcription factor 136
Zm00001d018197	GRMZM6G300210	ppp1	pyrophosphate-energized proton pump1
Zm00001d018198	GRMZM2G174240	gbptf16	GeBP-transcription factor 16
Zm00001d018206	GRMZM5G878558	nnr2	nitrate reductase2
Zm00001d018208	GRMZM2G083886	gbptf17	GeBP-transcription factor 17
Zm00001d018211	GRMZM2G052422	acco35	1-aminocyclopropane-1-carboxylate oxidase35
Zm00001d018217	GRMZM2G046407	AY110369	NA
Zm00001d018218	GRMZM2G046288	hagtf26	GNAT-transcription factor 26
Zm00001d018220	GRMZM2G032856	gst24	glutathione transferase24
Zm00001d018225	GRMZM2G145690	hb71	Homeobox-transcription factor 71
Zm00001d018226	GRMZM5G897224	mmp118	NA
Zm00001d018244	GRMZM2G426336	GRMZM2G426336	NA
Zm00001d018254	GRMZM2G149869	def3	defensin-like protein3
Zm00001d018255	GRMZM5G857944	ca2p13	CCAAT-HAP2-transcription factor 213
Zm00001d018258	GRMZM2G049194	mybr67	MYB-related-transcription factor 67
Zm00001d018259	GRMZM5G842517	atg12	autophagy12
Zm00001d018260	GRMZM5G893117	grf9	growth-regulating factor9
Zm00001d018261	GRMZM2G463904	er1	erecta-like1
Zm00001d018266	GRMZM2G417650	bnlg1597c	NA
Zm00001d018278	GRMZM2G095778	chi4	chalcone flavanone isomerase4
Zm00001d018285	GRMZM2G333565	hb35	Homeobox-transcription factor 35
Zm00001d018305	GRMZM2G110333	ereb90	AP2-EREBP-transcription factor 90
Zm00001d018309	GRMZM2G110185	mss1	MSS1 homolog
Zm00001d018320	GRMZM5G848185	mybr25	MYB-related-transcription factor 25
Zm00001d018322	GRMZM5G852886	umc1792	NA
Zm00001d018324	GRMZM2G008367	GRMZM2G008367	NA
Zm00001d018326	GRMZM5G878379	mkk4	MAP kinase kinase4
Zm00001d018328	GRMZM2G089466	AY110413	NA
Zm00001d018333	GRMZM2G128214	dgk6	diacylglycerol kinase6
Zm00001d018334	GRMZM2G128358	npi288a	NA
Zm00001d018342	GRMZM2G122231	trps11	trehalose-6-phosphate synthase11
Zm00001d018355	GRMZM2G018573	atg18e	autophagy18e
Zm00001d018360	GRMZM2G017923	AY110182	NA
Zm00001d018366	GRMZM2G119691	emb17	embryo defective17
Zm00001d018370	GRMZM2G178958	pco101682(581)	NA
Zm00001d018374	GRMZM5G832135	lrl3	ljrhl1-like3
Zm00001d018380	GRMZM2G479110	arr8	ARR-B-transcription factor 8
Zm00001d018382	GRMZM2G179662	vps2	vacuolar protein sorting2
Zm00001d018383	GRMZM2G100467	rpl39	ribosomal protein L39
Zm00001d018384	GRMZM2G075978	mcm5	minichromosome maintenance5
Zm00001d018386	GRMZM5G836910	got2	glutamate-oxaloacetate transaminase2
Zm00001d018394	GRMZM2G180430	dbptf2	DBP-transcription factor 2
Zm00001d018401	GRMZM2G180418	ptac17	plastid transcriptionally active17
Zm00001d018409	GRMZM2G027282	AY105910	NA
Zm00001d018414	GRMZM2G030465	iaa24	Aux/IAA-transcription factor 24
Zm00001d018415	GRMZM2G030523	pcna1	proliferating cell nuclear antigen1
Zm00001d018416	GRMZM2G030744	bhlh168	bHLH-transcription factor 168
Zm00001d018421	GRMZM2G163200	gata24	C2C2-GATA-transcription factor 24
Zm00001d018423	GRMZM5G846198	uggt1	UDP-glucose:glycoprotein glucosyltransferase1
Zm00001d018428	GRMZM2G178038	umc104b	NA
Zm00001d018429	GRMZM2G178074	ppck1	phosphoenolpyruvate carboxylase kinase1
Zm00001d018435	GRMZM5G857701	nactf104	NAC-transcription factor 104
Zm00001d018438	GRMZM2G150876	AW065811	NA
Zm00001d018440	GRMZM2G150932	Zm00001d018440	NA
Zm00001d018443	GRMZM2G058289	rz446b	NA
Zm00001d018445	GRMZM5G872499	phos3	phosphate transporter3
Zm00001d018460	GRMZM2G079013	lug2	leunig-related2
Zm00001d018465	GRMZM5G811428	mybr51	MYB-related-transcription factor 51
Zm00001d018468	GRMZM5G824600	fdh1	formaldehyde dehydrogenase homolog1
Zm00001d018481	GRMZM2G332687	myo2	myosin2
Zm00001d018487	GRMZM5G848768	umc2308	NA
Zm00001d018488	GRMZM5G837869	cyp13	cytochrome P450 13
Zm00001d018489	GRMZM2G013981	pza02480	NA
Zm00001d018491	GRMZM5G879872	umc2307	NA
Zm00001d018494	GRMZM5G840612	gpm21	NA
Zm00001d018527	GRMZM2G145107	sut4	sucrose transporter4
Zm00001d018530	GRMZM2G445944	tcptf4	TCP-transcription factor 4
Zm00001d018535	GRMZM5G842058	brk1	brick1
Zm00001d018541	GRMZM2G133764	umc1153	NA
Zm00001d018544	GRMZM2G433025	duf177	domain of unknown function177
Zm00001d018565	GRMZM5G840560	tdy2	tie-dyed2
Zm00001d018571	GRMZM2G073892	bzip38	bZIP-transcription factor 38
Zm00001d018573	GRMZM2G375002	rop4	Rho-related protein from plants 4
Zm00001d018587	GRMZM2G137387	mads20	MADS-transcription factor 20
Zm00001d018610	GRMZM2G090824	umc1788a	NA
Zm00001d018617	GRMZM2G177104	ga2ox12	gibberellin 2-oxidase12
Zm00001d018624	GRMZM2G436981	krp11	kinesin-related protein11
Zm00001d018627	GRMZM2G135739	mstr1	monosaccharide transporter1
Zm00001d018628	GRMZM2G420772	umc2177	NA
Zm00001d018631	GRMZM2G420733	dir11	dirigent protein 11
Zm00001d018633	GRMZM2G120652	csu582	NA
Zm00001d018639	GRMZM2G120563	alt7	alanine aminotransferase7
Zm00001d018641	GRMZM6G199466	hsp3	heat shock protein3
Zm00001d018642	GRMZM2G022120	cl24641_1	NA
Zm00001d018647	GRMZM2G108589	jmj19	JUMONJI-transcription factor 19
Zm00001d018653	GRMZM2G106600	pap11	purple acid phosphatase11
Zm00001d018656	GRMZM2G018721	wrky85	WRKY-transcription factor 85
Zm00001d018659	GRMZM2G019200	IDP1417	NA
Zm00001d018667	GRMZM2G072582	mads3	MADS3
Zm00001d018668	AC205122.4_FG003	IDP1688	NA
Zm00001d018669	GRMZM5G845755	cka4	CK2 protein kinase alpha 4
Zm00001d018677	GRMZM2G458082	hagtf31	GNAT-transcription factor 31
Zm00001d018693	GRMZM2G341621	ppr2	pentatricopeptide repeat 2
Zm00001d018697	GRMZM2G100176	glk28	G2-like-transcription factor 28
Zm00001d018702	GRMZM2G033014	nactf28	NAC-transcription factor 28
Zm00001d018704	GRMZM2G333337	umc1378	NA
Zm00001d018724	GRMZM2G044060	umc1672	NA
Zm00001d018727	GRMZM2G044194	psk1	phytosulfokine peptide precursor1
Zm00001d018729	GRMZM2G438652	bzip51	bZIP-transcription factor 51
Zm00001d018730	GRMZM2G006071	umc1426	NA
Zm00001d018731	GRMZM2G008234	ereb114	AP2-EREBP-transcription factor 114
Zm00001d018738	GRMZM2G465226	prp4	pathogenesis related protein4
Zm00001d018742	GRMZM2G028041	rs1	rough sheath1
Zm00001d018748	GRMZM2G450866	umi11	Ustilago maydis induced11
Zm00001d018755	GRMZM5G831780	rpl5c	60S ribosomal protein L5, mitochondrial-like homolog c
Zm00001d018756	GRMZM2G426154	mterf23	mTERF-domain protein23
Zm00001d018758	GRMZM2G064799	sudh1	succinate dehydrogenase1
Zm00001d018773	GRMZM2G479980	nactf73	NAC-transcription factor 73
Zm00001d018776	GRMZM2G051793	myb45	MYB-transcription factor 45
Zm00001d018779	GRMZM2G047954	pspb2	photosystem II oxygen evolving polypeptide2
Zm00001d018786	NA	IDP1692	NA
Zm00001d018791	GRMZM2G060866	IDP497	NA
Zm00001d018794	GRMZM2G011858	fnr2	ferredoxin NADP reductase2
Zm00001d018795	GRMZM2G012031	AY104465	NA
Zm00001d018796	GRMZM2G012324	IDP80	NA
Zm00001d018797	GRMZM2G012397	psa6	photosystem I reaction center6
Zm00001d018799	GRMZM2G013236	cipk23	calcineurin B-like-interacting protein kinase3
Zm00001d018802	GRMZM2G442791	ms22	male sterile22
Zm00001d018806	NA	php20581a(tb)	NA
Zm00001d018809	GRMZM2G129357	gst6	glutathione transferase6
Zm00001d018810	GRMZM2G129246	go1	glycolate oxidase1
Zm00001d018816	GRMZM2G059088	tin1	tiller number1
Zm00001d018819	GRMZM2G417954	nced5	nine-cis-epoxycarotenoid dioxygenase5
Zm00001d018820	GRMZM2G025977	pco075778b	NA
Zm00001d018823	GRMZM2G029623	xer4	xerico4
Zm00001d018829	GRMZM2G106204	yab3	C2C2-YABBY-transcription factor 3
Zm00001d018830	GRMZM2G406170	burp9	BURP domain-containing protein-RD22-like9
Zm00001d018832	GRMZM2G704330	lbd34	LBD-transcription factor 34
Zm00001d018837	GRMZM2G032145	burp3	BURP domain-containing protein-RD22-like3
Zm00001d018839	GRMZM2G102079	cyp19	cytochrome P-450 19
Zm00001d018842	GRMZM5G878044	AW308691	NA
Zm00001d018845	GRMZM2G355499	vq38	VQ motif-transcription factor38
Zm00001d018846	GRMZM2G394968	kr1	kauralexin  reductase1
Zm00001d018847	GRMZM2G073929	kr2	kauralexin  reductase2
Zm00001d018859	GRMZM2G018508	TIDP2663	NA
Zm00001d018863	GRMZM2G107457	hen1	hua enhancer1
Zm00001d018864	GRMZM2G107309	hda110	histone deacetylase
Zm00001d018869	GRMZM2G406830	ao5	aldehyde oxidase5
Zm00001d018872	GRMZM2G443668	IDP336	NA
Zm00001d018884	GRMZM2G074479	uce14	ubiquitin conjugating enzyme14
Zm00001d018887	GRMZM2G074323	mab19	math-btb19
Zm00001d018891	GRMZM2G377761	crp4	chloroplast RNA processing4
Zm00001d018894	GRMZM2G144645	cchh7	Cys2His2 Zinc Finger7
Zm00001d018896	GRMZM2G144726	umc1159	NA
Zm00001d018902	GRMZM2G312839	TIDP2919	NA
Zm00001d018912	GRMZM2G412492	phd19	PHD-transcription factor 19
Zm00001d018930	GRMZM2G153754	cpp1	CPP-transcription factor 1
Zm00001d018940	GRMZM2G425728	elip2	early light inducible protein2
Zm00001d018941	GRMZM2G125969	hsftf4	HSF-transcription factor 4
Zm00001d018944	GRMZM2G070807	TIDP2658	NA
Zm00001d018954	GRMZM2G161097	mmp81	NA
Zm00001d018961	GRMZM2G066290	mmp18	NA
Zm00001d018967	GRMZM2G162382	bhlh39	bHLH-transcription factor 39
Zm00001d018969	GRMZM5G841619	tsa1	tryptophan synthase alpha subunit1
Zm00001d018971	GRMZM2G015534	o2	opaque endosperm2
Zm00001d018973	GRMZM2G115357	iaa32	Aux/IAA-transcription factor 32
Zm00001d018976	GRMZM2G334041	met8	DNA methyl transferase8
Zm00001d018977	GRMZM2G333916	met1	DNA methyl transferase1
Zm00001d018981	GRMZM2G401308	his1a	histone1a
Zm00001d018984	GRMZM2G093815	rbd1	RNA-binding domain1
Zm00001d019002	GRMZM2G101024	umc1632	NA
